Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
0,00000136,false,Rx,0,8,00,00,00,18,0C,00,00,18,
235000,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,19,
0,0000013F,false,Rx,0,8,02,2E,02,30,FF,D8,00,1A,
0,0000015A,false,Rx,0,8,00,00,00,00,00,00,00,17,
236000,0000017C,false,Rx,0,8,00,00,05,66,48,00,00,16,
239000,00000156,false,Rx,0,6,00,02,00,01,07,20,00,00,
240000,00000097,false,Rx,0,8,80,60,20,01,FE,00,00,37,
240000,00000039,false,Rx,0,2,00,39,00,00,00,00,00,00,
0,00000158,false,Rx,0,8,11,E3,05,19,11,E3,BD,1C,
0,00000188,false,Rx,0,6,04,04,80,08,00,4B,00,00,
0,0000018E,false,Rx,0,3,00,0D,13,00,00,00,00,00,
0,00000136,false,Rx,0,8,00,00,00,18,0C,00,00,27,
0,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,28,
0,0000013F,false,Rx,0,8,02,2E,02,30,00,00,00,2C,
0,0000015A,false,Rx,0,8,00,00,00,00,00,00,00,26,
246000,0000017C,false,Rx,0,8,00,00,05,66,48,00,00,25,
246000,000001A4,false,Rx,0,8,00,68,00,00,00,00,00,38,
247000,000001AA,false,Rx,0,8,7F,FF,00,00,00,00,68,3E,
247000,000001B0,false,Rx,0,7,80,10,7F,FF,00,00,3C,00,
247000,000001D0,false,Rx,0,8,24,72,48,CC,91,E1,23,FA,
247000,000001DC,false,Rx,0,4,02,05,66,1A,00,00,00,00,
247000,000001E7,false,Rx,0,4,1A,00,68,36,00,00,00,00,
247000,00000320,false,Rx,0,3,00,00,12,00,00,00,00,00,
247000,00000324,false,Rx,0,8,7E,47,2D,11,3C,0E,00,10,
247000,0000037C,false,Rx,0,8,DA,00,DB,34,00,01,00,1A,
249000,00000156,false,Rx,0,6,00,01,00,03,07,3E,00,00,
249000,000001C0,false,Rx,0,7,00,00,10,00,00,00,0A,00,
