Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
468000,00000158,false,Rx,0,8,17,A9,06,BC,17,A9,98,33,
468000,00000188,false,Rx,0,6,04,04,80,08,00,69,00,00,
0,00000377,false,Rx,0,8,18,06,7B,74,AE,00,A2,34,
0,00000374,false,Rx,0,7,00,00,00,00,00,00,37,00,
469000,0000018E,false,Rx,0,3,00,04,0D,00,00,00,00,00,
469000,00000378,false,Rx,0,8,08,31,06,13,40,60,00,33,
471000,00000039,false,Rx,0,2,00,39,00,00,00,00,00,00,
473000,00000097,false,Rx,0,8,80,20,10,01,FB,00,00,20,
474000,00000136,false,Rx,0,8,00,00,00,12,06,00,00,14,
475000,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,19,
475000,0000013F,false,Rx,0,8,01,2B,01,23,00,00,00,10,
475000,0000017C,false,Rx,0,8,00,00,07,09,48,00,00,17,
476000,0000015A,false,Rx,0,8,00,00,00,43,00,00,00,01,
476000,000001A4,false,Rx,0,8,00,68,00,00,00,00,00,29,
476000,000001AA,false,Rx,0,8,7F,FF,00,00,00,00,68,2F,
476000,000001B0,false,Rx,0,7,80,10,7F,FF,00,00,2D,00,
0,00000156,false,Rx,0,6,FF,EF,00,00,07,0A,00,00,
0,000001D0,false,Rx,0,8,30,56,60,34,C1,E1,83,17,
0,000001E7,false,Rx,0,4,1A,00,68,27,00,00,00,00,
0,00000158,false,Rx,0,8,17,A9,06,BE,17,A9,98,04,
0,00000188,false,Rx,0,6,04,04,80,08,00,78,00,00,
479000,0000018E,false,Rx,0,3,00,07,19,00,00,00,00,00,
482000,00000039,false,Rx,0,2,00,0C,00,00,00,00,00,00,
483000,00000097,false,Rx,0,8,80,20,00,01,FD,00,00,3E,
0,00000136,false,Rx,0,8,00,00,00,12,06,00,00,23,
0,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,28,
484000,0000013F,false,Rx,0,8,01,2A,01,23,00,14,00,2B,
484000,0000017C,false,Rx,0,8,00,00,07,0B,48,00,00,24,
485000,000001DC,false,Rx,0,4,02,07,0B,37,00,00,00,00,
485000,00000320,false,Rx,0,3,00,00,30,00,00,00,00,00,
485000,00000324,false,Rx,0,8,7C,46,23,73,46,FC,00,3B,
485000,0000037C,false,Rx,0,8,EA,00,EA,32,00,01,00,39,
0,0000015A,false,Rx,0,8,00,00,00,00,00,00,00,17,
0,000001C0,false,Rx,0,7,00,00,10,00,00,00,0A,00,
486000,00000400,false,Rx,0,5,00,00,00,00,13,00,00,00,
486000,0000040C,false,Rx,0,8,4C,00,00,00,00,00,00,17,
486000,00000156,false,Rx,0,6,FF,EE,00,01,07,19,00,00,
486000,000001A6,false,Rx,0,8,02,00,00,4D,67,80,00,0F,
487000,00000454,false,Rx,0,6,37,F5,02,29,90,16,00,00,
487000,00000465,false,Rx,0,7,FF,FF,FF,FF,FF,FF,14,00,
487000,00000158,false,Rx,0,8,17,B0,06,BF,17,B0,98,12,
487000,00000188,false,Rx,0,6,04,04,80,08,00,4B,00,00,
